# Test Information
Test ID: DEFAULT001_20250810_115807_001
DUT Serial: DEFAULT001
Test Date: 2025-08-10 03:02:22
Status: PASS

# Raw Measurement Data (Temperature[°C] vs Distance[mm] → Force[kgf])
Temperature,10.0,60.0,100.0,140.0,180.0,220.0,240.0
38.0,9.736,9.416,8.378,11.197,11.695,10.284,10.879
40.0,11.638,8.155,11.776,8.831,11.009,9.481,11.604
42.0,10.091,10.890,10.926,10.273,10.844,10.237,8.793
44.0,9.239,9.241,10.686,8.770,12.100,9.625,8.344
46.0,9.052,9.898,10.179,8.813,10.564,11.239,8.555
48.0,8.458,9.265,9.008,9.651,11.543,11.028,10.403
50.0,9.760,9.349,11.894,10.613,10.872,9.294,11.547
52.0,9.341,10.353,9.745,10.951,11.669,10.001,8.569
54.0,8.948,9.565,8.548,10.252,8.249,10.252,11.229
56.0,11.510,8.124,11.675,8.985,9.932,11.356,9.403
58.0,9.247,11.257,9.283,9.661,10.496,9.334,9.754
60.0,10.432,8.141,11.400,10.334,9.297,10.143,8.431
